r,t,M,D,K,S,num_points,num_missed,error,acc,spr_error,spr_perc,runtime,rep_time,cluster_time
9,11,9,6,5,6132,30660,665,0.021689497716894976,0.978310502283105,0.035312075816516186,88.33985649054142,5.51823257599608,3.99763292397256,1.5205996520235203
9,12,9,6,5,6132,30660,1002,0.03268101761252446,0.9673189823874755,0.031246859996609044,89.48793215916504,5.628632298001321,3.999213979986962,1.629418318014359
9,13,9,6,5,6132,30660,515,0.01679712981082844,0.9832028701891715,0.02758436660882991,90.43052837573386,5.633145637024427,3.999304338998627,1.6338412980258
9,14,9,6,5,6132,30660,531,0.017318982387475538,0.9826810176125245,0.03003933188324525,89.6249184605349,5.720096330012893,4.000370096007828,1.7197262340050656
9,15,9,6,5,6132,30660,784,0.025570776255707764,0.9744292237442922,0.04077294462656216,86.26223091976517,5.617750297009479,3.9983875789912418,1.6193627180182375
9,16,9,6,5,6132,30660,685,0.022341813437703847,0.9776581865622962,0.03760180809524134,87.39399869536857,5.592391504993429,3.9991300260007847,1.5932614789926447
9,17,9,6,5,6132,30660,807,0.026320939334637965,0.973679060665362,0.045625978021185246,85.43052837573386,5.727711545012426,4.000303580018226,1.7274079649941996
9,18,9,6,5,6132,30660,612,0.019960861056751468,0.9800391389432486,0.032726981593430675,88.86823222439662,5.51627367301262,3.9992404429940507,1.5170332300185692
9,19,9,6,5,6132,30660,706,0.023026744944553163,0.9769732550554469,0.03860663190134645,86.84605348988912,5.693280005973065,3.9988748069736175,1.6944051989994477
9,20,9,6,5,6132,30660,678,0.022113502935420744,0.9778864970645793,0.033546460061402085,88.58121330724072,5.717094855004689,3.9992447500117123,1.7178501049929764
9,21,9,6,5,6132,30660,713,0.02325505544683627,0.9767449445531637,0.03325627640157936,89.19439008480106,5.644832664984278,3.9997342189890333,1.6450984459952451
9,22,9,6,5,6132,30660,868,0.028310502283105023,0.971689497716895,0.04848686625909151,84.46510110893674,5.825155119004194,3.999026317993412,1.826128801010782
9,23,9,6,5,6132,30660,619,0.020189171559034574,0.9798108284409655,0.03513525859181091,88.19308545335943,5.604865853994852,3.9996666650113184,1.6051991889835335
9,24,9,6,5,6132,30660,611,0.019928245270711024,0.980071754729289,0.03320168482394599,88.4768427919113,5.814844926993828,3.9990592499962077,1.8157856769976206
9,25,9,6,5,6132,30660,682,0.022243966079582518,0.9777560339204174,0.030962407383061413,88.88454011741683,5.614305849012453,3.9993673910212237,1.6149384579912294
9,26,9,6,5,6132,30660,1096,0.03574690150032616,0.9642530984996739,0.030369457236285407,89.63796477495109,5.604322336992482,3.999749012000393,1.6045733249920886
9,27,9,6,5,6132,30660,723,0.023581213307240705,0.9764187866927593,0.03420863765644414,89.01174168297457,5.619768845004728,4.0001858510077,1.619582993997028
